iter	Passed	Remaining
0	125	25020
1	230	22792
2	290	19078
3	391	19169
4	498	19440
5	612	19806
6	715	19732
7	825	19815
8	935	19848
9	1016	19318
10	1148	19741
11	1240	19434
12	1353	19473
13	1473	19580
14	1592	19635
15	1685	19381
16	1802	19402
17	1867	18886
18	1976	18831
19	2113	19019
20	2237	19068
21	2344	18968
22	2469	19002
23	2587	18976
24	2692	18844
25	2803	18763
26	2883	18478
27	2980	18311
28	3088	18209
29	3192	18089
30	3289	17934
31	3413	17921
32	3525	17840
33	3671	17925
34	3783	17836
35	3921	17863
36	4033	17770
37	4180	17824
38	4290	17712
39	4426	17707
40	4546	17632
41	4683	17618
42	4830	17636
43	4970	17622
44	5098	17563
45	5267	17635
46	5390	17547
47	5515	17464
48	5643	17391
49	5773	17321
50	5901	17240
51	6025	17148
52	6168	17108
53	6301	17038
54	6414	16911
55	6546	16834
56	6678	16754
57	6809	16670
58	6932	16566
59	7068	16494
60	7187	16377
61	7339	16336
62	7469	16242
63	7628	16211
64	7772	16143
65	7882	16003
66	8001	15883
67	8142	15806
68	8282	15724
69	8403	15606
70	8561	15554
71	8683	15436
72	8804	15316
73	8945	15230
74	9072	15120
75	9206	15021
76	9375	14976
77	9521	14892
78	9644	14771
79	9756	14634
80	9869	14499
81	10008	14402
82	10141	14295
83	10282	14199
84	10408	14081
85	10540	13971
86	10647	13830
87	10764	13699
88	10901	13596
89	11040	13494
90	11162	13371
91	11283	13246
92	11401	13117
93	11543	13017
94	11671	12899
95	11788	12771
96	11923	12660
97	12050	12542
98	12179	12425
99	12289	12289
100	12433	12187
101	12579	12086
102	12707	11967
103	12841	11854
104	13010	11771
105	13168	11677
106	13277	11540
107	13433	11443
108	13542	11306
109	13674	11187
110	13827	11086
111	13954	10964
112	14108	10862
113	14229	10734
114	14362	10616
115	14484	10489
116	14622	10373
117	14790	10278
118	14931	10163
119	15100	10067
120	15229	9943
121	15382	9834
122	15516	9713
123	15637	9584
124	15807	9484
125	15938	9360
126	16074	9239
127	16214	9120
128	16369	9009
129	16502	8886
130	16646	8767
131	16780	8644
132	16923	8525
133	17055	8400
134	17172	8268
135	17287	8135
136	17447	8023
137	17592	7903
138	17723	7777
139	17862	7655
140	17983	7524
141	18102	7394
142	18238	7269
143	18370	7144
144	18500	7017
145	18665	6903
146	18790	6774
147	18974	6666
148	19132	6548
149	19237	6412
150	19398	6294
151	19561	6177
152	19731	6061
153	19890	5941
154	20050	5821
155	20200	5697
156	20329	5568
157	20473	5442
158	20668	5329
159	20818	5204
160	20970	5079
161	21146	4960
162	21263	4826
163	21423	4702
164	21540	4569
165	21666	4437
166	21787	4305
167	21933	4177
168	22105	4054
169	22245	3925
170	22392	3797
171	22558	3672
172	22704	3543
173	22837	3412
174	23005	3286
175	23158	3158
176	23269	3023
177	23387	2890
178	23524	2759
179	23670	2630
180	23804	2498
181	23929	2366
182	24066	2235
183	24195	2103
184	24310	1971
185	24437	1839
186	24578	1708
187	24715	1577
188	24861	1446
189	25013	1316
190	25151	1185
191	25276	1053
192	25399	921
193	25545	790
194	25698	658
195	25845	527
196	25993	395
197	26128	263
198	26271	132
199	26429	0
